TourneyID,TourneyDate,TourneyLocation
1,9/4/2016,Red Rooster Arena
2,9/11/2016,Thunderbird Arena
3,9/18/2016,Bolero Arena
4,9/25/2016,Imperial Arena
5,10/2/2016,Sports World Arena
6,10/9/2016,Totem Arena
7,10/16/2016,Acapulco Arena
8,10/23/2016,Red Rooster Arena
9,10/30/2016,Thunderbird Arena
10,11/6/2016,Bolero Arena
11,11/17/2016,Imperial Arena
12,11/20/2016,Sports World Arena
13,11/27/2016,Totem Arena
14,12/4/2016,Acapulco Arena
15,7/16/2017,Red Rooster Arena
16,7/19/2017,Thunderbird Arena
17,7/26/2017,Bolero Arena
18,11/2/2017,Sports World Arena
19,11/9/2017,Imperial Arena
20,11/16/2017,Totem Arena
